,источник деривации,лемма греч.,часть речи ,фонетич. и графическая вариантность для русского языка 11-17 вв.,морфологическая вариативность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях славянских языков,переводные источники,оригинальные источники,дата создания списков,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация, связывающие отсылки
арахнида,,*ἀραχνίδα<*ἀραχνίς; ср.греч.ἀραχνίδιον,ж.,,,,,,,aranea,"ФГcэ, III, 34",,,,,,,,,,
аргатница,,ἀργάτης<ἐργάτης,ж.,,,,,,,,"ФГcэ, III, 34",,,,,,,,,,
аргатувати,,ἀργάτης<ἐργάτης,гл.,,,,,,,,"ФГcэ, III, 34",,,,,,,,,,
аргатъ,,ἀργάτης<ἐργάτης,м.,,"аргатарь (ФГcэ, III, 34)",,,,,,"ФГcэ, III, 34",,,,,,,,,,
ареопагъ,,Ἄρειος πάγος,м.,,,,да,,ареопаг - орган судебной и политической власти в Древней Греции.,,"СлРЯ, 1, 46",,,да,,ΧVΙΙ в.,"Алф.3, 63 об. ΧVΙΙ в.","общественные органы, учреждения","в славянских переводах переводится: Ариевъ ледъ (Срз. I, 27; СлРЯ, 1, 46)",,Ариевъ (ледъ)
ареопагитъ,,ἀρεοπαγίτης,м.,,,,,,член ареопага,,"СлРЯ, 1, 46","Стболг. I, 35",,да,,ΧVΙΙ в.,"Алф.1, 14. ΧVΙΙ в.",названия должностей,"Стболг. I, 35: только по отношению к Дионисию Ареопагиту",,
ариане,,(οἱ) ἀρειανοι,мн.,арияне,,,,,"

ариане – последователи учения александрийского
священника Ария (256 - 336) (см. ариантство).

",,"СлРЯ (доп.), 15; СДРЯ I, 93","Стболг. I, 35: ариани",да,да,,1073 г.,"Акы ариане прѣступаюште даное чисмя отъ Га҃ четыри десятъ дн҃ии имьже прилагаю едину недѣлю (οἱ ἀρειανοί). Изб.Св. 1073 г.2, 581.",названия ересей,,,арияне
арианский,,,прил.,"арияньскъ, -ыи",,,,,относящийся к арианам.,,"СлРЯ (доп.), 15; СДРЯ I, 93","Стболг. I, 35",да,,,1073 г.,"Ни арианьскомь иносуштиемь прѣблажняи, ни македоньскыимь духоратиемь поноси  (ἀρειανικῇ). Изб.Св. 1073 г.2, 313.",,,,
арианство,,,ср.,арияньство,,,,,"ересь, получившая название по имени  александрийского
священника Ария (256 - 336)",,"СДРЯ I, 93",,да,,,ΧΙV в.,,названия ересей,,"арианство – одно из раннехристианстких течений ΙV – VΙ вв., утверждавшее начальную тварность Бога-Сына, позднее – неединосущность его с Богом-Отцом.",арияньство
арианствовати,,,гл.,арияньствовати,,,,,"следовать арианству, придерживаться арианской ереси",,"СДРЯ I, 93",,да,,,1284 г.,"КР1284, 367в (СДРЯ I, 93)",Глагольные действия,,,
ариевъ,,Ἄρειος (πάγος),,,,,,,ареопаг - орган судебной и политической власти в Древней Греции.,,,,,,,,,,,,
аристотелевъ,,,прил.,,,,,,,,"СлРЯ, 1, 46",,,,,,,,,,
аристотель,,Ἀριστοτέλης,м.,,,,,,,vir doctus,"ФГcэ, III, 34; СлРЯ, 1, 46",,,,,,,,,,
ария,,ἀριά,ж.,,,,,,,arbor,"ФГcэ, III, 34",,,,,,,,,,
аркуда,,ἀρκοῦδα<ἄρκος<ἄρξ<ἄρκτος,ж.,,,,,,,ursa,"ФГcэ, III, 34; СлРЯ, 1, 47",,,,,,,,,,
армарие,,ἀρμάριον,м.,"ормар, армарий",,,,,,arimarium,"ФГcэ, III, 34; Срз. I, 27; СлРЯ, 1, 47",,,,,,,,,,
армаръ,,,м.,,,,,,,,"СлРЯ, 1, 47",,,,,,,,,,
армея,,*ἁρμέα:ἁρμνιά,ж.,,,,,,,"salgulo, muria","ФГcэ, III, 35; СлРЯ, 1, 47",,,,,,,,,,
арнаутка,,ἀρναβίτης<ἀρβανίτης<ἀλβανίτης,ж.,,,,,,,,"ФГcэ, III, 35",,,,,,,,,,
арнаутъ,,ἀρναβίτης<ἀρβανίτης<ἀλβανίτης,м.,,,,,,,arnaut,"ФГcэ, III, 35",,,,,,,,,,
ароматикъ,,,м.,,,,,,,,"СлРЯ, 1, 48",,,,,,,,,,
ароматицкий,,,прил.,,,,,,,,"СлРЯ, 1, 48",,,,,,,,,,
ароматникъ,,,м.,,,,,,,,"СлРЯ, 1, 48",,,,,,,,,,
ароматница,,,ж.,,,,,,,,"СлРЯ, 1, 48",,,,,,,,,,
ароматный,,,прил.,,,,,,,,"СлРЯ, 1, 48",,,,,,,,,,
ароматообразный,,ἀρωματώδεις,прил.,ароматообразьнъ,,,да,,имеющий благовонный запах,,"СДРЯ I, 93; СлРЯ (доп.), 15",,да ,,XIII-XIV вв.,XI в.,"вси абье плоди блг҃оуханьни суть и ароматъобразни (ἀρωματώδεις). ГА XIII-XIV, 117 б.","ароматы, благовония и т.п.",,,
ароматский,,,прил.,ароматьскыи,,,да,,относящийся к благовониям,,"СДРЯ I, 94",,да ,,XIII-XIV вв., XI в.,"можеть нѣкымь състроемь араматьскымь въ ча(с) створити трѣзвъ разумъ имѣти (ἀρωμάτων). ГА XIII-XIV, 117 б-в.",,,,
ароматствовати,,,глаг.,,,,,,,,"СлРЯ, 1, 48",,,,,,,,,,
ароматъ,,ἄρωμα:ἀρώματα,м.,аромафъ,"ароматы (ФГcэ, III, 35)",,,,"1. ароматическое вещество, благовоние. 2. приятный запах, благоухание, аромат.  ",aroma,"ФГcэ, III, 35; Срз. I, 27-28; СлРЯ, 1, 48","Стболг. I, 37","1 знач., 2 знач.","1 знач., 2 знач.",,1057 г.,"прияста же тѣло Иис҃ово и обиста е ризами съ ароматы (μετὰ τῶν ἀρωμάτων). (Ин. XIX, 40) Остр.ев., 195.","ароматы, благовония и т.п.",,,
артава,,ἀρτάβα<ἀρτάβη,ж.,,артаваса,,,,,mensuare species,"ФГcэ, III, 35; Срз. I, 28; СлРЯ, 1, 48",,да,,,,,меры веса,,,
артаваса,,,ж.,,,,,,,,"СлРЯ, 1, 48",,,,,,,,,,
артосникъ,,,м.,артусникъ,,,,,,,"СлРЯ, 1, 49",,,,,,,,,,
артосница,,,ж.,артусникъ,,,,,,,"СлРЯ, 1, 49",,,,,,,,,,
артосный,,,прил.,артусный,,,,,,,"СлРЯ, 1, 49-50",,,,,,,,,,
артофоръ,,ἀρτοφόρι(ον),м.,,,,,,,pyxis in aqua sacrae,"ФГcэ, III, 35; Срз. I, 28; СлРЯ, 1, 48",,,,,,,,,,
артусъ,,ἄρτους<ἄρτος,ж.,артосъ,,,,,,panis,"ФГcэ, III, 35; Срз. I, 28; СлРЯ, 1, 49",,,,,,,,,,
архангелий,ἀρχάγγελος,,прил.,,,,,,,,"СлРЯ, 1, 50",,,,,,,,,,
архангеловъ,ἀρχάγγελος,,прил.,,,,,,,,"СлРЯ, 1, 50","Стболг. I, 39",,,,,,,,,
архангелъ,,ἀρχάγγελος,м.,архаггелъ,,,,,"архангел, один из высших ангельских чинов",,"ФГcэ, III, 31; СлРЯ, 1, 51","Стболг. I, 39-40",да,да,,1057 г.,"Архангела Гаурила. Остр. ев., 231 об.","религия, богословие",,,
архангельский,ἀρχάγγελος,,прил.,,,,,,,,"СлРЯ, 1, 50","Стболг. I, 40",,,,,,,,,
архи,,ἀρχή,,,,,,,,initium,"ФГcэ, III, 35",,,,,,,,,,
архиатъръ,,ἀρχιατρός,м.,,,,,,,primus inter,"ФГcэ, III, 35",,,,,,,,,,
архидиаконовъ,,,прил.,архидияконовъ,,,,,,,,,,,,,,,,,
архидиаконский,,,прил.,архидьяконский,,,,,,,,,,,,,,,,,
архидияконъ,,ἀρχιδιάκονος,м.,,,,,,старший из диаконов,,"СлРЯ, 1, 50","Стболг. I, 40",,,,,,,,,
архидука,,,м.,,,,,,,,"СлРЯ, 1, 50",,,,,,,,,,
архидуксъ,,ἀρχιδοῦξ,м.,,"дукасар (ФГcэ, III, 56)",,,,,,"ФГcэ, III, 56",,,,,,,,,,
архиепископий,ἀρχιεπίσκοπος,,прил.,,,,,,,,,,,,,,,,,,
архиепископия,,,ж.,,,,,,,,,,,,,,,,,,
архиепископлевъ,ἀρχιεπίσκοπος,,прил.,,,,,,,,,,,,,,,,,,
архиепископлий,ἀρχιεπίσκοπος,,прил.,,,,,,,,,,,,,,,,,,
архиепископовъ,ἀρχιεπίσκοπος,,прил.,,,,,,,,,,,,,,,,,,
архиепископский,ἀρχιεπίσκοπος,,прил.,,,,,,,,,,,,,,,,,,
архиепископство,ἀρχιεπίσκοπος,,с.,архиепископьство,,,,,,,,,,,,,,,,,
архиепископъ,,ἀρχιεπίσκοπος,м.,архиепискупъ,,,,,"почетный титул епископа, старший епископ",,"СлРЯ, 1, 50","Стболг. I, 40",,,,,,,,,
архиерательствовати,,,глаг.,,,,,,,,"СлРЯ, 1, 51",,,,,,,,,,
архиерархъ,,,м.,,,,,,,,"СлРЯ, 1, 51",,,,,,,,,,
архиераршеский,,,прил.,,,,,,,,"СлРЯ, 1, 51",,,,,,,,,,
архиерательствовати,,,глаг.,,,,,,,,"СлРЯ, 1, 51",,,,,,,,,,
архиереевъ,,,прил.,,,,,,,,"СлРЯ, 1, 51",,,,,,,,,,
архиереи,,"ἀρχιερέας, ἀρχιερεύς",м.,,,,,,,", духовное лицо, имеющее третью за значимости степень священства; высший духовный сан","ФГcэ, III, 60; СлРЯ, 1, 51","Стболг. I, 40-41",,,,1057 г.,"Июда же примъ при<и>мъ спиру и отъ архиереи фарисеи слугы, приде тамо (ἐκ τῶν ἀρχιερέων καὶ φαρισαίων). (Ин. XVIII, 3) Остр. ев., 176 об.",,,,
архиерейский,,,прил.,"архиереискъ,-ыи",,,,,,,"СлРЯ, 1, 51","Стболг. I, 41",,,,,,,,,
архиерейство,,,прил.,,,,,,,,"СлРЯ, 1, 51-52",,,,,,,,,,
архиерействовати,,,глаг.,,,,,,,,"СлРЯ, 1, 52",,,,,,,,,,
архиереовъ,,,прил.,архиереевъ,,,,,"относящийся к архиерею, принадлежащий архиерею",,найти,"Стболг. I, 41",да,,,1057 г.,"ударь раба архиереова (τοῦ ἀρχιερέως). (Лук. XXII, 51) Остр. ев., 178.","религия, богословие",,,
архимандрити,,,глаг.,,,,,,,,"СлРЯ, 1, 52",,,,,,,,,,
архимандрития,,,ж.,,,,,,,,"СлРЯ, 1, 52",,,,,,,,,,
архимандритский,,,прил.,,,,,,,,"СлРЯ, 1, 52",,,,,,,,,,
архимандритстсво,,,ср.,анхимандриство,,,,,,,"СлРЯ, 1, 52",,,,,,,,,,
архимандритъ,,ἀρχιμανδρίτης,м.,"анхимандритъ, архимаритъ",,,,,,,"ФГcэ, III, 36; СлРЯ, 1, 52",,,,,,,,,,
архимандрический,,,прил.,,,,,,,,"СлРЯ, 1, 52",,,,,,,,,,
архимандричество,,,ср.,,,,,,,,"СлРЯ, 1, 52-53",,,,,,,,,,
архимандричий,,,прил.,,,,,,,,"СлРЯ, 1, 53",,,,,,,,,,
архимандричичие,,,ср.,,,,,,,,"СлРЯ, 1, 53",,,,,,,,,,
архимандрия,,,ж.,,,,,,,,"СлРЯ, 1, 53",,,,,,,,,,
архиммагеръ,,ἀρχιμάγερος,м.,,,,,,,,"ФГcэ, III, 118",,,,,,,,,,
архисинагоговъ,ἀρχισυνάγωγος,,прил.,,,,,,,,"СлРЯ, 1, 53","Стболг. I, 42",,,,,,,,,
архисинагогъ,,ἀρχισυνάγωγος,м.,,,,,,,,"ФГcэ, III, 36; СлРЯ, 1, 53","Стболг. I, 42",,,,,,,,,
архистратигъ,,ἀρχιστράτηγος,м.,,,,,,1. глава ангельских небесных сил. 2. военачальник ,,"ФГcэ, III, 192-193; СлРЯ, 1, 53","Стболг. I, 42",,,,,,,,,
архитектонъ,,ἀρχιτέκτων,м.,,,,,,,,"ФГcэ, III, 36; СлРЯ, 1, 53",,,,,,,,,,
архитриклинъ,,ἀρχιτρίκλινος,м.,,,,,,руководитель пира,magister convivii,"ФГcэ, III, 36; Срз. I, 31; СлРЯ, 1, 53","Стболг. I, 42","Остр.ев., 12","Алф.2, 1. XVII в.",,1057 г.,"принесѣте архитриклинови … въкуси архитриклинъ вина бывъшааго отъ воды (τῷ ἀρχιτρικλίνῳ... ὁ  ἀρχιτρίκλινος). (Ин. II, 8 - 9). Остр.ев., 12.",названия должностей,,,
асинкритъ,,ἀσηκρῆτις+ἀσύγκριτος,м.,,,,,,,secretarius,"ФГcэ, III, 36; Срз. I, 31; СлРЯ, 1, 53",,,,,,,,,,
асинхитъ,,ἀσύγχυτον,м.,"синклитъ, синхитъ",,,,,,,"ФГcэ, III, 179; Срз. III, 357",,,,,,,,,,
аскитникъ,,ἀσκητής,м.,,,,,,,asceta,"ФГcэ, III, 36; СлРЯ, 1, 55",,,,,,,,,,
аскитствовати,,,глаг.,,,,,,,,"СлРЯ, 1, 55",,,,,,,,,,
аскитствовати,,,глаг.,,,,,,,,"СлРЯ, 1, 55",,,,,,,,,,
аскомония,,*ἀσκαμωνία>σκαμωνία,ж.,,,,,,,planta quaedam,"ФГcэ, III, 36",,,,,,,,,,
аскъ,,ἀσκός,м.,яскъ,,,,,,,"ФГcэ, III, 36; Срз. I, 31; СлРЯ, 1, 53",,,,,,,,,,
аспида,,"ἀσπίδα, ἀσπις",ж.,,,,,,ядовитая змея,serpens,"ФГcэ, III, 36; СлРЯ, 1, 55","Стболг. I, 44",да,да,,,,,,,
аспидити,,,глаг.,,,,,,,,"СлРЯ, 1, 55",,,,,,,,,,
аспидный,,,прил.,,,,,,,,"СлРЯ, 1, 55-56",,,,,,,,,,
аспидовъ,"ἀσπίδα, ἀσπις",,прил.,,,,,,,,"СлРЯ, 1, 56","Стболг. I, 44",,,,,,,,,
аспидский,"ἀσπίδα, ἀσπις",,прил.,,,,,,,,"СлРЯ, 1, 56",,,,,,,,,,
аспидъ,,"ἀσπίδα, ἴασπις",м.,"iаспидъ, асписъ, гаспидъ",,,,,,hiaspis,"ФГcэ, III, 36; СлРЯ, 1, 55","Стболг. I, 44",,,,,,,,,
асписъ,,,м.,,,,,,,,"СлРЯ, 1, 56",,,,,,,,,,
аспръ,,ἄσπρος:ἄσπρον,м.,,,,,,,moneta argentea,"ФГcэ, III, 36-37; СлРЯ, 1, 56",,,,,,,,,,
ассарии,,ἀσσάριον,м.,,,от лат. assarius < ass,,,мелкая монета достоинством в один асс,moneta,"ФГcэ, III, 37; Срз. I, 32; СлРЯ, 1, 56","Стболг. I, 44",Остр. ев.,"Скрижаль IV, 93. 1656 г. (СлРЯ, 1, 56)",,1057 г.,"не дъвѣ ли пътици ассарии цѣнимѣ есте (ἀσσαρίου)? (Мф. X, 29) Остр. ев., 234.",денежные единицы,"ср. ниже: не пять ли пътиць цѣниться пѣнязема дъвѣма (ἀσσαρίων δύο)? (Лук. XII, 6) Остр. ев., 235.",,
астрагалъ,,ἀστράγαλος,м.,,,,,,,astragalus,"ФГcэ, III, 37",,,,,,,,,,
астрологийский,,,прил.,,,,,,,,"СлРЯ, 1, 56",,,,,,,,,,
астрологический,,,прил.,,,,,,,,"СлРЯ, 1, 56",,,,,,,,,,
астрологичный,,,прил.,острологичный,,,,,,,"СлРЯ, 1, 56",,,,,,,,,,
астрология,,ἀστρολογία,ж.,,,,,,,astrologia,"ФГcэ, III, 37; Срз. I, 32",,,,,,,,,,
астрологский,,,прил.,астроложский,,,,,,,"СлРЯ, 1, 56",,,,,,,,,,
астрологъ,,,м.,острологъ,,,,,,,"СлРЯ, 1, 56",,,,,,,,,,
астрономикъ,,,м.,,,,,,,,"СлРЯ, 1, 56-57",,,,,,,,,,
астрономия,,ἀστρονομία,ж.,,,,,,,astronomia,"ФГcэ, III, 37; СлРЯ, 1, 57",,,,,,,,,,
астрономъ,,,м.,"астреномъ, острономъ",,,,,,,"СлРЯ, 1, 56",,,,,,,,,,
асфодилъ,,ἀσφόδελος,м.,,,,,,,asphodelus luteus,"ФГcэ, III, 37",,,,,,,,,,
атерина,,ἀθερῖνα,ж.,,,,,,,denim,"ФГcэ, III, 37",,,,,,,,,,
атеринка,,ἀθερῖνα,ж.,,,,,,,leuciscus erythrophthalmus,"ФГcэ, III, 37",,,,,,,,,,
аукинфъ,,,м.,,,,,,,,"СлРЯ (доп.), 16",,,,,,,,,,
афедроновый,,,прил.,афендроновый,,,,,,,"СлРЯ, 1, 58",,,,,,,,,,
афедронъ,,,м.,"анфедронъ, афедрона",,,,,,,"СлРЯ, 1, 58",,,,,,,,,,
афира,,ἀθήρα,ж.,,,,,,,pulmentum,"ФГcэ, III, 38; Срз. I, 33",,,,,,,,,,
афтопудъ,,ἀφταπόδι из ἀχταπόδι+ἐφτά<ὀκταπόδιον<ὀκταπόδης,м.,,"фтаподи (ФГcэ, III, 37)",,,,,polypus,"ФГcэ, III, 37; СлРЯ, 1, 58",,,,,,,,,,
ахатисъ ,,ἀχάτης,м.,,ахатъ,,,,,,"СлРЯ (доп.), 16",,,,,,,,,,
ахатъ,,ἀχάτης,м.,,ахатисъ,,,,,achates,"ФГcэ, III, 37; СлРЯ (доп.), 16",,,,,,,,,,ахатисъ
ахвёсный,,θιός:θεός,прил.,,,,,,,,"ФГcэ, III, 211",,,,,,,,,,
ахинея,,ἀχηνία ?,ж.,,,,,,,absurdus,"ФГcэ, III, 37",,,,,,,,,,
ахмёность,,θιός:θεός,,,,,,,,,"ФГcэ, III, 211",,,,,,,,,,
бамбакъ,,βόμβυξ+πάμβαξ,ж.,,,,,,,asbestum,"ФГcэ, III, 41",,,,,,,,,,
бамберекъ,,βαμβακερόν,м.,"байберекъ, байбаракъ",,,,,,,"ФГcэ, III, 38",,,,,,,,,,
бандура,,βανδοῦρα<πανδοῦρα,ж.,,,,,,,,"ФГcэ, III, 38",,,,,,,,,,
барбуня,,"βαρβούνι,βαρβούνια",?,"барабуня, барабуля",,,,,,mulus piscis,"ФГcэ, III, 38",,,,,,,,,,
бласфемия,,,ж.,власфимия,,,,,,,"СлРЯ (доп.), 34",,,,,,,,,,
бора,,"βόρα:βουρί,pl.βουριά",ж.,"борва, бурунъ","бурунъ (ФГcэ, III, 39)",,,,,,"ФГcэ, III, 39",,,,,,,,,,
бре,,βρέ<μρέ<μωρέ,межд.,,,,,,,hola,"ФГcэ, III, 129",,,,,,,,,,
брумалии,,βρουμάλια,мн.ч.,,,от лат. brumalia,,да,название римского праздника,,"Срз. I, 181",,Корм. XVI в.,,,XVI в.,"Брумалии - ошести, ошесткы. Корм. XVI в.",названия праздников,"в Ефр. корм., 183. XII в. греч.  βρουμάλια соответствует слово ошьстъкы (ошесткы), встречающееся в ""Мериле праведном"" и в других Кормчих  - см. СДРЯ 6, 333; СлРЯ, 14, 107.",,врумалия 
