,источник деривации,лемма польск.,часть речи, фонетическая вариативность для русского языка 11-17 вв.,морфологическая вариантивность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях восточнославянских языков,переводные источники,оригинальные источники,дата создания списка,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация,связывающие отсылки
амуниция,,amunicja,ж.,,,"через польск. amuniсja, которое является переоформлением франц. amunition «снаряжение» , восходящего к ср.-лат. ammunitio (корень mun-, ср. лат. munire «снаряжать») (Шанский, 1, 97).  Рус. формы на а- могли также
пройти посредство польск. amunicja, amunicyja XVII в. (Аникин, 1, 2014).",,да,,,нет в СлРЯ,,,,,,ЦИТАТА IL(63) 17/18 w.,Названия доспехов и военных аксессуаров,"Формы с начальным а- толкуются также как переразложение франц. la munition > l’amunition. В результате распространения этой формы появились нем. Ammunition, голл.
ammunitie, швед. ammunition (Аникин, 1, 204). Совр. форма сменила более старую амуниты, восходящую к итал. ammunito (Шанский, 1, 97). ",,
анатомикъ,,"anatomik, anatom",м.,,,Внимание: Шанский: в 19 веке из нем.,,,,,нет в СлРЯ,,,,,,ЦИТАТА K1 1670,Медицинская лексика,,,
анатомия,,anatomia,ж.,,,ВНИМАНИЕ: Фасмер и Шанский: не полонизм,,,,,нет в СлРЯ,,,,,,ЦИТАТА L 1666,Медицинская лексика,,,
ангина,,angina,ж.,,,ВНИМАНИЕ: Аникин не ПОЛОНИЗМ,,,,,"СлРЯ, 1, 38",,,,1643,,"У которово де человѣка горло и груди пухнутъ...тае де немочь зовется по латыни ангина. Мат. медиц., 44. 1643 г.",Названия болезней,,,
андаракъ,,anderak,м.,,,"Через белорусское посредство из польск. диал. anderak, andarak, ст.-польск. inderak XVI в., которое восходит к н.-нем. onderrock 'нижняя юбка' (Аникин, 1, 217). ",,да,,,нет в СлРЯ,,,,1696,,"Сто аршин самоткану да три андарака домотканых поношеных да холстовъ в остатках. Сл. Смол., 23, 1696. По словарю [Мжельская 2004] ПЕРЕВОД",Названия одежды,"Рус. óндрак в сибирских говорах — украинизм или белорусизм (от переселенцев в Сибирь) (Аникин, 1, 217).",,
анкеръ,,ankier,м.,,,ВНИМАНИЕ: Аникин не ПОЛОНИЗМ,,,Сосуд для жидкости; бочонок.,,"СлРЯ, 1, 39",,,,1667,,"И пошлины имать по прежнему съ анкера горѣлаго французскаго вина по 6 ефимковъ съ бочки. СГГД IV, 198. 1667 г.","Названия посуды, емкостей",,,
анкерокъ,,ankierek,м.,анкирекъ,,см. анкер,,,Уменьш. к анкеръ. ,,"СлРЯ, 1, 39",,,,1689,,"Анкирекъ ренского мушкательного, не полонъ. Цѣна 3 р. Д. Шакловит. IV, 114 г. 1689 г.","Названия посуды, емкостей",,,
антаба,,antaba,ж.,,,"нет у Аникина, Шанского, Фасмера",,,,,нет в СлРЯ,,,,,,ЦИТАТА MP 17 w.,Названия деталей крепежа,,,
антабка,,antabka,ж.,,,,,,,,нет в СлРЯ,,,,,,ЦИТАТА MP 17 w.,Названия деталей крепежа,,,
антипатия,,antypatia или antipatja???,ж.,,,"Из франц. antipathie, нем. Antipathie, которые восходят лат.
antipathia, заим. из греч. ἀντιπάθεια ‛отвращение’. Не исключено посредство польск. antypatja (Аникин, 1, 232). ",,да,,,нет в СлРЯ,,,,,,ЦИТАТА СОБИК S 1692,Абстрактная лексика,"Прил. антипатúчный возникло уже в рус. (перв. пол. XIX в.; ранее антипатический 1767) на основе заимств. из франц. antipathique (Аникин, 1, 232).",,
апелляция,,apelacja,ж.,,,"из ст.-укр. и ст.-блр., куда заимствовано
в XVI в. из польск. apelacyja < лат. appellātio (Аникин, 1, 241).",,да,,,нет в СлРЯ,,,,,,ЦИТАТА КОХМАН K1 poł. 17 w.; S 1697,Лексика из области права,"Совр. рус. апеллúровать (кон. XVIII) < нем. appellieren (Аникин, 1, 241).",,
апоплексия,,apopleksja,ж.,опопликсия,,"В форме опопликсия из греч. ἀποπληξία, в остальных — из лат. (< греч.) apoplēxia, непосредственно или через польск. apopleksja (Аникин, 1, 244).",,да,"Паралич, удар.",,"СлРЯ, 1, 41",,,,XVII в.,1534,"Обдержани суть детинцемъ или опопликсию. Травник Любч., 253. XVII в. ~ 1534 г. || У Фасмера: с 1616 г.; см. Смирнов 41 ДРУГАЯ ЦИТАТА НУЖНА",Названия болезней,"Ударение в апоплексúя или
под вторичным влиянием греч. слова или вследствие заимств. через
франц. (< лат.) apoplexie (Аникин, 1, 244).",,
