А,источник деривации,лемма греч.,часть речи ,фонетическая вариативность для русского языка 11-17 вв.,морфологическая вариативность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях славянских языков,переводные источники,оригинальные источники,дата списка,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация, связывающие отсылки,,
аиръ,,ἀήρ,м.,аеръ,,,,,1. небо. 2. воздух. 3. покров для церковных сосудов. ,,"СлРЯ, 1, 25",,,"Лекс. Берынды, 335. 1627 г.",,,"Аиръ: вѣтръ, въздухъ, повѣтрье. Лекс. Берынды, 335. 1627 г.",природа,,аеръ,,,
акадимия ,,Ἀκαδήμεια,ж.,,,,,,"ученое общество; ученое и учебное заведение; Академия близ Афин, место собрания философов",,"СДРЯ, I, 78; СлРЯ, 1, 25",,"Пч., 360.","Лекс.Берынды, 336. 1627 г.",. XIV-XV вв.,XIII в.,"Нѣкто безумныи уноша въ Акадимии пряшеться о д҃шѣ (ἐν Ἀκαδημείᾳ). Пч., 360. XIV-XV вв. ~ XIII в.",культура. наука,,,,,
акафисто,,ἀκάθιστος,с.,,акафистъ,,,,"церковное песнопение, неседален, славословный гимн, во время которого не седят",hymnus sine sessione canendus,"ФГcэ, III, 27",,,"Ж.Серг.Р.Епиф.2, 133. XVI в.  ~ 1418 г.",XVI в.,1418 г.,"Б҃лгодарныи канонъ... еже есть акафосто. Ж.Серг.Р.Епиф.2, 133. XVI в. ~ 1418 г.",религия. богослужение,,,,,
акафистъ,,ἀκάθιστος,м.,,акафисто,,,,"церковное песнопение, неседален, славословный гимн, во время которого не седят",hymnus sine sessione canendus,"ФГcэ, III, 27; Срз. I, 12","Грц.макед., 61","Тип.уст. XI-XII вв. (Срз. I, 12)",, XI-XII вв.,,"Тип.уст. XI-XII вв. (Срз. I, 12)",религия. богослужение,,,,,
акинтъ,,ὑάκινθος,м.,"акинфъ, аукинфъ",,,,,драгоценный камень (гиацинт),hyacinthus,"ФГcэ, III, 27; Срз. I, 12",,"Иез. XXVIII.13. Упыр. XVI в. ~ 1047 г.(Срз. I, 12)",,XVI в.,1047 г.,"Навязалъ еси... измарагдъ и акинтъ. Иез. XXVIII.13. Упыр. XVI в. ~ 1047 г.(Срз. I, 12)",природа. драгоценные камни,,,,,
акинфинъ,акинфъ,,прил.,,,,,,относящийся к драгоценному камню.,,"СлРЯ, 1, 26",,"Апокал., 46.",,XIII в.,,"И тако видѣхъ коне видѣниемь и сѣдящая на нихъ имущи бръня огньня акинфины и жюпелны. Апокал., 46. XII – XIII вв.",природа. драгоценные камни,,,,,
акинфъ,,ὑάκινθος,м.,"акинтъ, аукинфъ, иоакинфъ",,,,,1. драгоценный камень (гиацинт), 2. вид ткани ,,"1. СлРЯ, 1, 26; 2.СДРЯ, I, 78",,Хрон. Г.Амарт.,"Сказ.роск.житии, 40. XVII в.",XIII-XIV вв.,ΧΙ в.,"1. А по краям и берегам морским драгоценных камней - акинфовъ, алмазов... - добре много. Сказ.роск.житии, 40. XVII в.; 2. (ГА) XIII-XIV СДРЯ, I, 78.",природа. драгоценные камни,,,,
акиянъ,,ὠκεανός,м.,океанъ,,,,,океан,,"СлРЯ (доп.), 11; СДРЯ, I, 78",,"Хрон.Г.Амарт., 67. XIV в.~XI в.",,XIV в.,ΧΙ в.,"Море все и великыи акиянъ уставы своя имут своего двизания, суша же... растить всякыя различьныя сады (ὁ… ὠκεανός). Хрон.Г.Амарт., 67. XIV в.~XI в.",природа,,,окиянъ,,
акрида,,ἀκρίδα< ἀκρίς,ж.,,"акридъ, м.",,,,1. саранча. 2. молодой побег растения. ,locusta,"ФГcэ, III, 27; Срз. I, 12-13; СлРЯ, 1, 26","SJS I, 21 (акридъ, м.); Стболг. I, 15 (акридъ, м.); Грц.макед., 61","(Мф. III, 4) Остр.ев., л. 254 об.",,1057 г.,,"ѣдъ же ѥго акридъ . и медъ дивии (ἀκρίδες). (Мф. III, 4) Остр.ев., л. 254 об. ; И всем же наказал еси враги наша, яко ты еси избавляаи от всякого зла, их же бо акриды и мышица побиша кусанием. Библ. Остр., 42. 1581 г.",природа. животный мир,,,,,
акровистия,,ἀκροβυστία,ж.,,акровистиѥ,,,,"крайняя плоть, тж. перен. о необрезании (т.е. о наличии крайней плоти) ",praeputium,"ФГcэ, III, 27; Срз. I, 13, СлРЯ (доп.), 11","SJS I, 21; Грц.макед., 62","Гр.Наз., 119. XI в.",,XI в.,,"Луче ти бы было обрѣзатися и бѣсовати, да реку и нѣчьто смѣшьно, ли въ акровьствии [вм.: акровьстии; ср. ниже, с. 268: съ коньчьную пльтию] и съдравии жити лукавьно и безбожьно (ἐν ἀκροβυστίᾳ). Гр.Наз., 119 XI в.",человек. части тела,,,,,
акрогоничестный,,ἀκρογωνιαῖος,прил.,,,,,,краеугольный ,,"СлРЯ (доп.), 11","ср.Стболг. I, 15-16 (акрогониеи); SJS I, 22 (акрогониеи, акрогоничьнъ); Грц.макед., 62","Парем.4, 105–105 об.",,1271 г.,,"Се азъ вълагаю въ основания Сионова камень многоцѢньнъ краиугольнъ избьранъ акрогоничьстьнъ основания. Парем.4, 105–105 об. 1271 г.",религия. богословские понятия,,,,,
акротомый,,ἀκρότομος,прил.,,,,,,"скалистый, обрывистый ",,"СДРЯ, I, 79","SJS I, 22","ГА XIII – XIV, 89г (СДРЯ I, 79)",,XIII-XIV вв.,ΧΙ в.,"и камени акротомы неотесаны яко адамантисти и превеликы зѣло въ основание положи. ГА XIII – XIV, 89г (СДРЯ I, 79)",природа,,,,,
акротомъ,,ἀκρότομος,м.,акрофомъ,,,,,скала ,durissima petra,"ФГcэ, III, 27; Срз. I, 13; СлРЯ (доп.), 11","Стболг. I, 16; Грц.макед., 62","Мин.праздн. (Ил.), 62. XI—XII вв.",, XI-XII вв.,,"Егда испусти ударяемъ въ воду акратомъ (ср. Числ. ХХ, 10—11: ἀκρότομος). Мин.праздн. (Ил.), 62. XI—XII вв.",природа,,,,,
аксамитити,аксамитъ,,глаг.,,,,,,расшивать что-л. золотыми или серебряными нитями,,"Срз. I, 13; СлРЯ, 1, 26",,,"Оп.им.Ив.Гр., 16. 1583 г.",,,"Ферези…обрасцы по жолтому атласу аксамичены серебромъ. Оп. им. Ив. Гр., 16. 1583 г.",экономика. занятия и профессии людей,,,,,
аксамитникъ,аксамитъ,,м.,оксамитникъ,,,,,"мастер, изготовляющий аксамит",,"СлРЯ, 1, 26",,"Брун. Толк. Псалт., 661. XVII в. ~ 1535 г.",,XVII в.,1535 г.,"Оксамитникы, бархатникы, камочникы и прочии златыя и сребреныя и шолковыя поставы дѣлающеи, коиждо вѣдятъ своихъ хитростей имена. Брун. Толк. Псалт., 661. XVII в. ~ 1535 г.",экономика. занятия и профессии людей,,,оксамитникъ,,
аксамитный,аксамитъ,,прил.,оксамитный,,,,,относящийся к аксамиту,,"Срз. I, 13; СлРЯ, 1, 26-27",,,"Ипат.лет., 925. Ок. 1425 г.; Польск.д. II, 491. 1556 г.; Д.Шакловит. IV, 308. 1689 г.",,,"(1289): И икону…окова сребром с камением дороным, и завесы золотом шиты, а другые оксамитные съ дробницею. Ипат. Лет., 925.",быт. ткани,,,оксамитный ,,
аксамитъ,,ἀξάμιτον < ἑξάμιτον,м.,оксамитъ,,"ἑξάμιτος ""из шести нитей""",,,"драгоценная ткань с золотыми и серебряными нитями в основе,  плотная и ворсистая,  как бархат ",examitum,"ФГcэ, III, 27; Срз. I, 13; СлРЯ, 1, 26",,,"Сл. о п.Иг., 11; ДАИ VI, 97. 1673 г.",,,"Помчаша красныя дѣвкы половецкыя, а съ ними злато, и паволокы, и драгыя оксамиты. Сл. о п. Иг., 11.",быт. ткани,,,оксамитъ,,
аксамиченье,аксамитъ,,с.,оксамиченье,,,,,"вышитый золотом, серебром узор, вышивка ",,"СлРЯ, 1, 27",,,"Плат.Бор.Год., 20. 1589 г.",,,"Вершокъ шапошнои оксамиченъ золотомъ да серебромъ по оксамиченью саженъ жемчугомъ. Плат. Бор. Год., 20. 1589 г.",быт. ткани,,,оксамиченье ,,
аксикастеръ,,ὀξυκαστόριος,м.,,,,,,название шелковой ткани ,,"СлРЯ (доп.), 11",,"Флавий.Полон.Иерус. (Арх.), 143. XV в.~XI – XII вв.",,XV в., XI-XII вв.,"Одръ же бысть, на немже лежаше [Архелаи], злата суха весь и с камениемъ драгымъ. И пастеля акысикастеръ [вар.: аксикастеръ] разноличенъ (ἁλουργίς). Флавий.Полон.Иерус. (Арх.), 143. XV в.~XI – XII вв.",быт. ткани,,,,,
аксиосъ,,ἄξιος,м.,,,,,,"«Достоин» – слово, произносившееся старшим епископом при обряде поставления в сан дьякона, священника, епископа и повторявшееся трижды хором певчих.",,,"Грц.макед., 62",,"Арс.Сух.Проскинитарий, 72. 1649–1653 гг.",1649–1653 гг.,,"И въ царскихъ дверяхъ приняли его митрополитъ и епископъ и повели его [Неофита] около престола, по чину, поюще... тутъ патриархъ говорилъ молитву и омофоръ положилъ, и возгласилъ: аксиосъ. Арс.Сух.Проскинитарий, 72. 1649–1653 гг. Святѣйший же патриархъ, вземъ жезлъ, отдалъ поддиакону, въ то время пѣли: аксиосъ, аксиосъ, аксиосъ. (Чин возведения в патриархи) ДАИ VI, 238. 1672 г.",,,,,,
акты,,ἀκτή,мн. ч.,,,,,,(крутой) берег моря ,litus maritimum,"ФГcэ, III, 28; Срз. I, 13; СлРЯ (доп.), 11",,"Ио.екз.Бог.1, II, 60. XII—XIII вв.",, XI-XII вв.,,"Посредѣ бо тъ двою мору лежить, състависте различья пучины, и горы, и островы, и отокы, и пристанища имущи, и лукы различьныя объдрьжящи, и егияли, иже суть краи пѣсъчании, и акты, иже суть глубину имуще (ἀκτή). Ио.екз.Бог.1, II, 60. XII—XIII вв.",природа,,,,,
